# Wiktionary	vie	http://wiktionary.org/	CC BY-SA
00392812-a	vie:lemma	đen	
00392812-a	vie:lemma	đen	
00392812-a	vie:lemma	thui	
00393105-a	vie:lemma	trắng	
00393105-a	vie:lemma	bạch	
00395626-a	vie:lemma	đỏ	
00395626-a	vie:lemma	hồng	
00395626-a	vie:lemma	紅	
00412788-a	vie:lemma	dã	
00412788-a	vie:lemma	man	
00412788-a	vie:lemma	野蠻	
00417413-a	vie:lemma	sạch	
00417413-a	vie:lemma	sẽ	
00417413-a	vie:lemma	sạch	
00419289-a	vie:lemma	bẩn	
00419289-a	vie:lemma	bẩn	
00419289-a	vie:lemma	thỉu	
00419289-a	vie:lemma	dơ	
00438707-a	vie:lemma	thông	
00438707-a	vie:lemma	minh	
00438707-a	vie:lemma	聰明	
00439588-a	vie:lemma	ngu	
00439588-a	vie:lemma	ngu	
00439588-a	vie:lemma	ngốc	
00442361-a	vie:lemma	xa	
00443075-a	vie:lemma	xa	
00444519-a	vie:lemma	gần	
00457998-a	vie:lemma	khoả	
00457998-a	vie:lemma	thân	
00485711-a	vie:lemma	thường	
00485711-a	vie:lemma	bình	
00485711-a	vie:lemma	thường	
00489108-a	vie:lemma	bình	
00489108-a	vie:lemma	thường	
00517554-a	vie:lemma	phân	
00517554-a	vie:lemma	nửa	
00605128-a	vie:lemma	bất	
00605128-a	vie:lemma	tiện	
00605128-a	vie:lemma	mất	
00605128-a	vie:lemma	công	
00631391-a	vie:lemma	đúng	
00642379-a	vie:lemma	lịch	
00642379-a	vie:lemma	sự	
00642379-a	vie:lemma	lể	
00642379-a	vie:lemma	phép	
00645493-a	vie:lemma	khó	
00645493-a	vie:lemma	tin	
00663267-a	vie:lemma	cắt	
00681930-a	vie:lemma	điếc	
00682662-a	vie:lemma	không	
00682662-a	vie:lemma	có	
00682662-a	vie:lemma	khả	
00682662-a	vie:lemma	năng	
00682662-a	vie:lemma	phân	
00682662-a	vie:lemma	biệt	
00682662-a	vie:lemma	chính	
00682662-a	vie:lemma	xác	
00682662-a	vie:lemma	các	
00682662-a	vie:lemma	nốt	
00682662-a	vie:lemma	nhạc	
00682662-a	vie:lemma	khác	
00682662-a	vie:lemma	nhau	
00690058-a	vie:lemma	sâu	
00709215-a	vie:lemma	yếu	
00709215-a	vie:lemma	ớt	
00718339-a	vie:lemma	quân	
00718339-a	vie:lemma	chủ	
00744916-a	vie:lemma	khó	
00749230-a	vie:lemma	dễ	
00749230-a	vie:lemma	dàng	
00749230-a	vie:lemma	dễ	
00754682-a	vie:lemma	chăm	
00754682-a	vie:lemma	chỉ	
00795246-a	vie:lemma	ngoạn	
00795246-a	vie:lemma	mục	
00797299-a	vie:lemma	say	
00797299-a	vie:lemma	rượu	
00812952-a	vie:lemma	sớm	
00812952-a	vie:lemma	ban	
00812952-a	vie:lemma	đầu	
00812952-a	vie:lemma	đầu	
00812952-a	vie:lemma	mùa	
00900071-a	vie:lemma	thần	
00900071-a	vie:lemma	bí	
00900071-a	vie:lemma	神秘	
00910101-a	vie:lemma	bằng	
00910101-a	vie:lemma	phẳng	
00910101-a	vie:lemma	bằng	
00910101-a	vie:lemma	phẳng	
00933154-a	vie:lemma	đắt	
00933154-a	vie:lemma	đắt	
00933154-a	vie:lemma	tiền	
00934199-a	vie:lemma	rẻ	
00957176-a	vie:lemma	bất	
00957176-a	vie:lemma	công	
00961392-a	vie:lemma	trung	
00961392-a	vie:lemma	thành	
00970610-a	vie:lemma	thường	
00970610-a	vie:lemma	thông	
00970610-a	vie:lemma	thường	
00980527-a	vie:lemma	chậm	
00980527-a	vie:lemma	chậm	
00980527-a	vie:lemma	chạp	
00991838-a	vie:lemma	mập	
01010862-a	vie:lemma	thứ	
01010862-a	vie:lemma	nhất	
01010862-a	vie:lemma	đầu	
01010862-a	vie:lemma	tiên	
01016436-a	vie:lemma	thứ	
01016436-a	vie:lemma	hai	
01016436-a	vie:lemma	thứ	
01016436-a	vie:lemma	nhì	
01034457-a	vie:lemma	ngoại	
01034457-a	vie:lemma	quốc	
01034457-a	vie:lemma	nước	
01034457-a	vie:lemma	ngoài	
01048406-a	vie:lemma	sướng	
01048406-a	vie:lemma	sung	
01048406-a	vie:lemma	sướng	
01048406-a	vie:lemma	may	
01048406-a	vie:lemma	may	
01048406-a	vie:lemma	mắn	
01048406-a	vie:lemma	hạnh	
01048406-a	vie:lemma	phúc	
01049210-a	vie:lemma	may	
01049210-a	vie:lemma	may	
01049210-a	vie:lemma	mắn	
01052248-a	vie:lemma	thơm	
01083157-a	vie:lemma	đầy	
01083157-a	vie:lemma	đủ	
01090820-a	vie:lemma	có	
01090820-a	vie:lemma	ích	
01106405-a	vie:lemma	địa	
01106405-a	vie:lemma	phương	
01106405-a	vie:lemma	地方	
01123148-a	vie:lemma	tốt	
01123148-a	vie:lemma	hay	
01123148-a	vie:lemma	tuyệt	
01131803-a	vie:lemma	xấu	
01131803-a	vie:lemma	醜	
01143279-a	vie:lemma	thình	
01143279-a	vie:lemma	lình	
01143279-a	vie:lemma	đột	
01143279-a	vie:lemma	ngột	
01148283-a	vie:lemma	mừng	
01150915-a	vie:lemma	cứng	
01150915-a	vie:lemma	rắn	
01152746-a	vie:lemma	mềm	
01170243-a	vie:lemma	khỏe	
01170243-a	vie:lemma	mạnh	
01184932-a	vie:lemma	nặng	
01186408-a	vie:lemma	nhẹ	
01186408-a	vie:lemma	nhẹ	
01186408-a	vie:lemma	nhàng	
01201422-a	vie:lemma	đồng	
01201422-a	vie:lemma	tính	
01201422-a	vie:lemma	pê	
01201422-a	vie:lemma	đê	
01201422-a	vie:lemma	bóng	
01210854-a	vie:lemma	cao	
01210854-a	vie:lemma	高	
01212469-a	vie:lemma	thấp	
01215935-a	vie:lemma	trầm	
01247240-a	vie:lemma	nóng	
01251128-a	vie:lemma	lạnh	
01251128-a	vie:lemma	lạnh	
01251128-a	vie:lemma	lẽo	
01251128-a	vie:lemma	nguội	
01257612-a	vie:lemma	lạnh	
01257612-a	vie:lemma	lùng	
01263013-a	vie:lemma	độc	
01263013-a	vie:lemma	ác	
01269073-a	vie:lemma	đói	
01270004-a	vie:lemma	khát	
01277426-a	vie:lemma	chính	
01277426-a	vie:lemma	chủ	
01277426-a	vie:lemma	chủ	
01277426-a	vie:lemma	yếu	
01277426-a	vie:lemma	quan	
01277426-a	vie:lemma	trọng	
01294857-a	vie:lemma	tân	
01294857-a	vie:lemma	cử	
01315844-a	vie:lemma	bẩm	
01315844-a	vie:lemma	sinh	
01334398-a	vie:lemma	thông	
01334398-a	vie:lemma	minh	
01334398-a	vie:lemma	聰明	
01334958-a	vie:lemma	thông	
01334958-a	vie:lemma	minh	
01334958-a	vie:lemma	聰明	
01361863-a	vie:lemma	buồn	
01367651-a	vie:lemma	vui	
01375831-a	vie:lemma	nổi	
01375831-a	vie:lemma	tiếng	
01375831-a	vie:lemma	nổi	
01375831-a	vie:lemma	danh	
01382086-a	vie:lemma	lớn	
01382086-a	vie:lemma	to	
01382086-a	vie:lemma	bự	
01391351-a	vie:lemma	tiểu	
01391351-a	vie:lemma	nhỏ	
01392249-a	vie:lemma	nhỏ	
01392249-a	vie:lemma	xíu	
01433493-a	vie:lemma	dài	
01436003-a	vie:lemma	đoản	
01436003-a	vie:lemma	短	
01436003-a	vie:lemma	ngắn	
01437963-a	vie:lemma	lâu	
01454636-a	vie:lemma	khẽ	
01454636-a	vie:lemma	khẽ	
01454636-a	vie:lemma	khàng	
01468097-a	vie:lemma	may	
01468097-a	vie:lemma	may	
01468097-a	vie:lemma	mắn	
01481612-a	vie:lemma	kết	
01481612-a	vie:lemma	hôn	
01481612-a	vie:lemma	thành	
01481612-a	vie:lemma	lập	
01481612-a	vie:lemma	gia	
01481612-a	vie:lemma	đình	
01481612-a	vie:lemma	cưới	
01481612-a	vie:lemma	có	
01481612-a	vie:lemma	vợ	
01481612-a	vie:lemma	đã	
01481612-a	vie:lemma	lấy	
01481612-a	vie:lemma	vợ	
01481612-a	vie:lemma	có	
01481612-a	vie:lemma	chồng	
01482228-a	vie:lemma	độc	
01482228-a	vie:lemma	thân	
01494429-a	vie:lemma	quanh	
01494429-a	vie:lemma	năm	
01509066-a	vie:lemma	nhẹ	
01509066-a	vie:lemma	nhẹ	
01509066-a	vie:lemma	nhàng	
01513512-a	vie:lemma	mạnh	
01539225-a	vie:lemma	khiêm	
01539225-a	vie:lemma	tốn	
01552419-a	vie:lemma	đông	
01554230-a	vie:lemma	như	
01554230-a	vie:lemma	thế	
01579467-a	vie:lemma	tối	
01579467-a	vie:lemma	cao	
01596122-a	vie:lemma	lầm	
01596122-a	vie:lemma	lạc	
01638438-a	vie:lemma	cũ	
01640850-a	vie:lemma	mới	
01642477-a	vie:lemma	gần	
01642477-a	vie:lemma	đây	
01643620-a	vie:lemma	già	
01646941-a	vie:lemma	trẻ	
01646941-a	vie:lemma	trẻ	
01646941-a	vie:lemma	tuổi	
01678112-a	vie:lemma	hiếm	
01687167-a	vie:lemma	tươi	
01687167-a	vie:lemma	mới	
01730060-a	vie:lemma	thuộc	
01730060-a	vie:lemma	về	
01730060-a	vie:lemma	sử	
01730060-a	vie:lemma	học	
01730060-a	vie:lemma	lịch	
01730060-a	vie:lemma	sử	
01740892-a	vie:lemma	hòa	
01740892-a	vie:lemma	bình	
01783158-a	vie:lemma	sùng	
01783158-a	vie:lemma	đạo	
01783158-a	vie:lemma	mộ	
01783158-a	vie:lemma	đạo	
01847672-a	vie:lemma	vắng	
01847672-a	vie:lemma	mặt	
01861205-a	vie:lemma	công	
01861205-a	vie:lemma	cộng	
01873163-a	vie:lemma	sâu	
01873163-a	vie:lemma	sắc	
01890988-a	vie:lemma	tự	
01890988-a	vie:lemma	trọng	
01918984-a	vie:lemma	yên	
01918984-a	vie:lemma	tĩnh	
01918984-a	vie:lemma	安靜	
02021905-a	vie:lemma	giàu	
02022953-a	vie:lemma	nghèo	
02024928-a	vie:lemma	sang	
02024928-a	vie:lemma	trọng	
02030080-a	vie:lemma	cánh	
02030080-a	vie:lemma	hữu	
02030080-a	vie:lemma	hữu	
02030080-a	vie:lemma	khuynh	
02031335-a	vie:lemma	cánh	
02031335-a	vie:lemma	tả	
02031986-a	vie:lemma	phải	
02031986-a	vie:lemma	thẳng	
02032953-a	vie:lemma	trái	
02040233-a	vie:lemma	yếu	
02040652-a	vie:lemma	xoe	
02053818-a	vie:lemma	thánh	
02053818-a	vie:lemma	聖	
02053818-a	vie:lemma	thần	
02053818-a	vie:lemma	thánh	
02054310-a	vie:lemma	thánh	
02054310-a	vie:lemma	聖	
02054310-a	vie:lemma	thần	
02054310-a	vie:lemma	thánh	
02056265-a	vie:lemma	tôn	
02056265-a	vie:lemma	giáo	
02056265-a	vie:lemma	宗教	
02058794-a	vie:lemma	nguy	
02058794-a	vie:lemma	hiểm	
02062670-a	vie:lemma	giống	
02062670-a	vie:lemma	nhau	
02062670-a	vie:lemma	như	
02062670-a	vie:lemma	nhau	
02062670-a	vie:lemma	cùng	
02062670-a	vie:lemma	một	
02062670-a	vie:lemma	một	
02062670-a	vie:lemma	thứ	
02088883-a	vie:lemma	mờ	
02088883-a	vie:lemma	ám	
02115759-a	vie:lemma	vô	
02115759-a	vie:lemma	sinh	
02117464-a	vie:lemma	lạ	
02119716-a	vie:lemma	thật	
02131668-a	vie:lemma	nứng	
02132080-a	vie:lemma	tình	
02132080-a	vie:lemma	ái	
02132080-a	vie:lemma	tình	
02132080-a	vie:lemma	dục	
02152473-a	vie:lemma	chung	
02158826-a	vie:lemma	mù	
02158826-a	vie:lemma	đui	
02158826-a	vie:lemma	mù	
02161432-a	vie:lemma	quan	
02161432-a	vie:lemma	trọng	
02165318-a	vie:lemma	tầm	
02165318-a	vie:lemma	thường	
02174896-a	vie:lemma	giản	
02174896-a	vie:lemma	dị	
02174896-a	vie:lemma	mộc	
02174896-a	vie:lemma	mạc	
02177584-a	vie:lemma	phức	
02177584-a	vie:lemma	tạp	
02177584-a	vie:lemma	複雜	
02178500-a	vie:lemma	phức	
02178500-a	vie:lemma	tạp	
02178500-a	vie:lemma	複雜	
02183611-a	vie:lemma	lượng	
02202307-a	vie:lemma	thứ	
02202307-a	vie:lemma	ba	
02202712-a	vie:lemma	thứ	
02202712-a	vie:lemma	năm	
02202854-a	vie:lemma	thứ	
02202854-a	vie:lemma	sáu	
02203249-a	vie:lemma	thứ	
02203249-a	vie:lemma	chín	
02203373-a	vie:lemma	thứ	
02203373-a	vie:lemma	mười	
02203629-a	vie:lemma	một	
02203629-a	vie:lemma	phần	
02203629-a	vie:lemma	mười	
02203629-a	vie:lemma	hai	
02204716-a	vie:lemma	thứ	
02204716-a	vie:lemma	hai	
02204716-a	vie:lemma	mươi	
02205045-a	vie:lemma	thứ	
02205045-a	vie:lemma	hai	
02205045-a	vie:lemma	mươi	
02205045-a	vie:lemma	ba	
02206998-a	vie:lemma	hạng	
02206998-a	vie:lemma	bốn	
02206998-a	vie:lemma	mươi	
02208145-a	vie:lemma	thứ	
02208145-a	vie:lemma	năm	
02208145-a	vie:lemma	mươi	
02208385-a	vie:lemma	thứ	
02208385-a	vie:lemma	sáu	
02208385-a	vie:lemma	mươi	
02208723-a	vie:lemma	thứ	
02208723-a	vie:lemma	bảy	
02208723-a	vie:lemma	mươi	
02208971-a	vie:lemma	thứ	
02208971-a	vie:lemma	tám	
02208971-a	vie:lemma	mươi	
02209197-a	vie:lemma	thứ	
02209197-a	vie:lemma	chín	
02209197-a	vie:lemma	mươi	
02214736-a	vie:lemma	đơn	
02214736-a	vie:lemma	độc	
02226162-a	vie:lemma	giỏi	
02261386-a	vie:lemma	nước	
02261386-a	vie:lemma	lỏng	
02279900-a	vie:lemma	can	
02279900-a	vie:lemma	đảm	
02319922-a	vie:lemma	giống	
02319922-a	vie:lemma	đực	
02340458-a	vie:lemma	khiêm	
02340458-a	vie:lemma	tốn	
02340458-a	vie:lemma	khúm	
02340458-a	vie:lemma	núm	
02343110-a	vie:lemma	xuất	
02343110-a	vie:lemma	sắc	
02357479-a	vie:lemma	ngạc	
02357479-a	vie:lemma	nhiên	
02368336-a	vie:lemma	ngọt	
02385102-a	vie:lemma	cao	
02385102-a	vie:lemma	高	
02396098-a	vie:lemma	đắng	
02396720-a	vie:lemma	thơm	
02396720-a	vie:lemma	tho	
02396720-a	vie:lemma	ngon	
02396720-a	vie:lemma	ngọt	
02396720-a	vie:lemma	ngọt	
02396720-a	vie:lemma	ngào	
02397732-a	vie:lemma	cay	
02398378-a	vie:lemma	cay	
02410393-a	vie:lemma	dày	
02412164-a	vie:lemma	mỏng	
02412164-a	vie:lemma	mảnh	
02448324-a	vie:lemma	mềm	
02460502-a	vie:lemma	thật	
02460502-a	vie:lemma	phải	
02506029-a	vie:lemma	không	
02506029-a	vie:lemma	thay	
02506029-a	vie:lemma	đổi	
02517999-a	vie:lemma	hồng	
02517999-a	vie:lemma	ngoại	
02529264-a	vie:lemma	ấm	
02529581-a	vie:lemma	ấm	
02529581-a	vie:lemma	âm	
02529581-a	vie:lemma	ấm	
02541302-a	vie:lemma	bệnh	
02547317-a	vie:lemma	ướt	
02551380-a	vie:lemma	khô	
02560548-a	vie:lemma	rộng	
02561888-a	vie:lemma	hẹp	
02561888-a	vie:lemma	chật	
02561888-a	vie:lemma	hẹp	
02561888-a	vie:lemma	eo	
02561888-a	vie:lemma	hẹp	
02569130-a	vie:lemma	khôn	
02570643-a	vie:lemma	vô	
02570643-a	vie:lemma	lý	
02571903-a	vie:lemma	luyến	
02572038-a	vie:lemma	điên	
02572038-a	vie:lemma	cuồng	
02789151-a	vie:lemma	lãng	
02789151-a	vie:lemma	mạn	
02789151-a	vie:lemma	sự	
02789151-a	vie:lemma	lãng	
02789151-a	vie:lemma	mạn	
02793273-a	vie:lemma	khoa	
02793273-a	vie:lemma	học	
02857587-a	vie:lemma	chính	
02857587-a	vie:lemma	trị	
02860389-a	vie:lemma	ngực	
02922263-a	vie:lemma	người	
02922263-a	vie:lemma	Do	
02922263-a	vie:lemma	thái	
02927512-a	vie:lemma	Mỹ	
02927512-a	vie:lemma	của	
02927512-a	vie:lemma	Mỹ	
02927512-a	vie:lemma	của	
02927512-a	vie:lemma	Hoa	
02927512-a	vie:lemma	Kỳ	
02936020-a	vie:lemma	có	
02936020-a	vie:lemma	tính	
02936020-a	vie:lemma	chất	
02936020-a	vie:lemma	tính	
02936020-a	vie:lemma	từ	
02957066-a	vie:lemma	Ý	
02957276-a	vie:lemma	nga	
02957276-a	vie:lemma	Nga	
02957276-a	vie:lemma	俄	
02957469-a	vie:lemma	Đức	
02959406-a	vie:lemma	xô	
02959406-a	vie:lemma	viết	
02959406-a	vie:lemma	Xô	
02959406-a	vie:lemma	viết	
02959406-a	vie:lemma	xô-viết	
02961099-a	vie:lemma	Áo	
02961505-a	vie:lemma	Hung-ga-ri	
02964782-a	vie:lemma	Trung	
02964782-a	vie:lemma	Quốc	
02964782-a	vie:lemma	中國	
02964782-a	vie:lemma	Tàu	
02964782-a	vie:lemma	Trung	
02964782-a	vie:lemma	中	
02964782-a	vie:lemma	Hán	
02964782-a	vie:lemma	漢	
02964782-a	vie:lemma	Hoa	
02964782-a	vie:lemma	華	
02965043-a	vie:lemma	Nhật	
02965043-a	vie:lemma	日	
02965043-a	vie:lemma	thuộc	
02965043-a	vie:lemma	Nhật	
03000725-a	vie:lemma	tiến	
03000725-a	vie:lemma	hóa	
03003344-a	vie:lemma	người	
03003344-a	vie:lemma	Anh	
03052018-a	vie:lemma	Miến	
03052018-a	vie:lemma	Điện	
03079803-a	vie:lemma	Lào	
03080351-a	vie:lemma	Rôman	
03087088-a	vie:lemma	Mông	
03087088-a	vie:lemma	Cổ	
03116651-a	vie:lemma	Thái	
03118790-a	vie:lemma	Slav	
03129222-a	vie:lemma	Việt	
00004475-n	vie:lemma	sinh	
00004475-n	vie:lemma	vật	
00004475-n	vie:lemma	生物	
00006484-n	vie:lemma	tế	
00006484-n	vie:lemma	bào	
00006484-n	vie:lemma	細胞	
00007846-n	vie:lemma	người	
00015388-n	vie:lemma	thú	
00015388-n	vie:lemma	vật	
00015388-n	vie:lemma	動物	
00015388-n	vie:lemma	sinh	
00015388-n	vie:lemma	vật	
00015388-n	vie:lemma	生物	
00015388-n	vie:lemma	tạo	
00015388-n	vie:lemma	vật	
00017222-n	vie:lemma	thực	
00017222-n	vie:lemma	vật	
00017222-n	vie:lemma	cây	
00020827-n	vie:lemma	vật	
00020827-n	vie:lemma	chất	
00020827-n	vie:lemma	物質	
00021265-n	vie:lemma	thức	
00021265-n	vie:lemma	ăn	
00023773-n	vie:lemma	động	
00023773-n	vie:lemma	cơ	
00023773-n	vie:lemma	動機	
00027807-n	vie:lemma	hình	
00027807-n	vie:lemma	dáng	
00028270-n	vie:lemma	thời	
00028270-n	vie:lemma	gian	
00028270-n	vie:lemma	時間	
00037396-n	vie:lemma	hành	
00037396-n	vie:lemma	động	
00048374-n	vie:lemma	đến	
00056311-n	vie:lemma	nhập	
00056311-n	vie:lemma	cư	
00062133-n	vie:lemma	cực	
00062133-n	vie:lemma	khoái	
00067526-n	vie:lemma	mất	
00070965-n	vie:lemma	lỗi	
00081836-n	vie:lemma	đi	
00081836-n	vie:lemma	mua	
00081836-n	vie:lemma	hàng	
00081836-n	vie:lemma	mua	
00081836-n	vie:lemma	sắm	
00092366-n	vie:lemma	bán	
00092366-n	vie:lemma	đấu	
00092366-n	vie:lemma	giá	
00092366-n	vie:lemma	đấu	
00092366-n	vie:lemma	giá	
00094001-n	vie:lemma	cứu	
00094001-n	vie:lemma	rỗi	
00095502-n	vie:lemma	giải	
00095502-n	vie:lemma	phóng	
00095502-n	vie:lemma	解放	
00098625-n	vie:lemma	cây	
00098625-n	vie:lemma	thanh	
00098625-n	vie:lemma	lương	
00098625-n	vie:lemma	trà	
00099799-n	vie:lemma	tung	
00099799-n	vie:lemma	hứng	
00118733-n	vie:lemma	nôn	
00118733-n	vie:lemma	mửa	
00138221-n	vie:lemma	cái	
00138221-n	vie:lemma	hôn	
00181781-n	vie:lemma	bầu	
00181781-n	vie:lemma	cử	
00199707-n	vie:lemma	sự	
00199707-n	vie:lemma	sửa	
00199707-n	vie:lemma	đổi	
00207761-n	vie:lemma	trục	
00207761-n	vie:lemma	xuất	
00213482-n	vie:lemma	dẫn	
00213482-n	vie:lemma	độ	
00219012-n	vie:lemma	giết	
00220522-n	vie:lemma	giết	
00220522-n	vie:lemma	người	
00220522-n	vie:lemma	vụ	
00220522-n	vie:lemma	giết	
00220522-n	vie:lemma	người	
00220522-n	vie:lemma	ám	
00220522-n	vie:lemma	sát	
00220522-n	vie:lemma	vụ	
00220522-n	vie:lemma	ám	
00220522-n	vie:lemma	sát	
00221056-n	vie:lemma	ám	
00221056-n	vie:lemma	sát	
00221056-n	vie:lemma	vụ	
00221056-n	vie:lemma	暗殺	
00221178-n	vie:lemma	đổ	
00221178-n	vie:lemma	máu	
00223362-n	vie:lemma	thiết	
00223362-n	vie:lemma	phúc	
00223362-n	vie:lemma	seppuku	
00257580-n	vie:lemma	vòi	
00257580-n	vie:lemma	sen	
00264913-n	vie:lemma	hiện	
00264913-n	vie:lemma	đại	
00264913-n	vie:lemma	hoá	
00270919-n	vie:lemma	đính	
00270919-n	vie:lemma	hôn	
00270919-n	vie:lemma	訂婚	
00284101-n	vie:lemma	đi	
00284101-n	vie:lemma	dạo	
00298161-n	vie:lemma	du	
00298161-n	vie:lemma	lịch	
00298161-n	vie:lemma	lữ	
00298161-n	vie:lemma	hành	
00300441-n	vie:lemma	hàng	
00300441-n	vie:lemma	không	
00300441-n	vie:lemma	航空	
00320852-n	vie:lemma	giới	
00320852-n	vie:lemma	thiệu	
00324384-n	vie:lemma	lên	
00325785-n	vie:lemma	leo	
00325785-n	vie:lemma	núi	
00325785-n	vie:lemma	trèo	
00325785-n	vie:lemma	núi	
00359135-n	vie:lemma	sự	
00359135-n	vie:lemma	rút	
00359135-n	vie:lemma	ngắn	
00378880-n	vie:lemma	hoả	
00378880-n	vie:lemma	táng	
00378880-n	vie:lemma	sự	
00378880-n	vie:lemma	火葬	
00381680-n	vie:lemma	thống	
00381680-n	vie:lemma	nhất	
00390198-n	vie:lemma	chấm	
00390198-n	vie:lemma	câu	
00395654-n	vie:lemma	cắt	
00395654-n	vie:lemma	bao	
00395654-n	vie:lemma	quy	
00395654-n	vie:lemma	đầu	
00401783-n	vie:lemma	tiêu	
00401783-n	vie:lemma	khiển	
00411384-n	vie:lemma	hợp	
00411384-n	vie:lemma	tác	
00412839-n	vie:lemma	ăn	
00412839-n	vie:lemma	thịt	
00412839-n	vie:lemma	đồng	
00412839-n	vie:lemma	loại	
00417859-n	vie:lemma	cái	
00417859-n	vie:lemma	ôm	
00417859-n	vie:lemma	chặt	
00425781-n	vie:lemma	quấy	
00425781-n	vie:lemma	rối	
00425781-n	vie:lemma	tình	
00425781-n	vie:lemma	dục	
00426526-n	vie:lemma	chủ	
00426526-n	vie:lemma	nghĩa	
00426526-n	vie:lemma	thực	
00426526-n	vie:lemma	dân	
00426526-n	vie:lemma	主義殖民	
00427580-n	vie:lemma	đùa	
00427580-n	vie:lemma	lời	
00427580-n	vie:lemma	nói	
00427580-n	vie:lemma	đùa	
00427580-n	vie:lemma	câu	
00427580-n	vie:lemma	nói	
00427580-n	vie:lemma	đùa	
00428270-n	vie:lemma	điệu	
00428270-n	vie:lemma	múa	
00428270-n	vie:lemma	điệu	
00428270-n	vie:lemma	nhảy	
00429048-n	vie:lemma	hài	
00429048-n	vie:lemma	hước	
00430140-n	vie:lemma	đổ	
00430140-n	vie:lemma	bác	
00430140-n	vie:lemma	賭博	
00433216-n	vie:lemma	thể	
00433216-n	vie:lemma	thao	
00442115-n	vie:lemma	bơi	
00448748-n	vie:lemma	trượt	
00448748-n	vie:lemma	băng	
00448748-n	vie:lemma	nghệ	
00448748-n	vie:lemma	thuật	
00451370-n	vie:lemma	đi	
00451370-n	vie:lemma	xe	
00451370-n	vie:lemma	đạp	
00455599-n	vie:lemma	trò	
00455599-n	vie:lemma	chơi	
00464894-n	vie:lemma	golf	
00467995-n	vie:lemma	khúc	
00467995-n	vie:lemma	côn	
00467995-n	vie:lemma	cầu	
00469651-n	vie:lemma	bóng	
00469651-n	vie:lemma	bầu	
00469651-n	vie:lemma	dục	
00470966-n	vie:lemma	bóng	
00470966-n	vie:lemma	bầu	
00470966-n	vie:lemma	dục	
00471613-n	vie:lemma	bóng	
00471613-n	vie:lemma	chày	
00475787-n	vie:lemma	bóng	
00475787-n	vie:lemma	mềm	
00478262-n	vie:lemma	bóng	
00478262-n	vie:lemma	đá	
00479440-n	vie:lemma	banh	
00479440-n	vie:lemma	để	
00479440-n	vie:lemma	liệng	
00480211-n	vie:lemma	bóng	
00480211-n	vie:lemma	chuyền	
00480993-n	vie:lemma	bóng	
00480993-n	vie:lemma	rổ	
00499924-n	vie:lemma	trò	
00499924-n	vie:lemma	chơi	
00499924-n	vie:lemma	bi-a	
00499924-n	vie:lemma	bi-a	
00501304-n	vie:lemma	bi	
00501304-n	vie:lemma	da	
